,text,centroids_id,avg_dist
0,"สวัสดีค่ะ 
",0,2.2363303936170177e-16
59,"สวัสดีครับ
",0,2.2363303936170177e-16
48,"สวัสดีครับ
",0,2.2363303936170177e-16
41,"สวัสดี
",0,2.2363303936170177e-16
30,"สวัสดี
",0,2.2363303936170177e-16
26,"สวัสดีครับ
",0,2.2363303936170177e-16
25,"สวัสดีค่ะ
",0,2.2363303936170177e-16
24,"สวัสดีจ้า
",0,2.2363303936170177e-16
15,"สวัสดี
",0,2.2363303936170177e-16
43,"ขอรายละเอียดหลักสูตรหน่อย
",1,0.3764138188927633
31,"ขอข้อมูลหลักสูตรหน่อย 
",1,0.3764138188927633
1,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",1,0.3764138188927633
2,"เรียนกี่ปีจบ
",2,0.40177219680645965
34,"เรียนกี่ปีครับ
",2,0.40177219680645965
61,"กี่ปีจบ
",2,0.40177219680645965
38,"ค่าเทอมกี่บาท
",3,0.8824852105266394
17,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",3,0.8824852105266394
3,"ค่าเทอมกี่บาท
",3,0.8824852105266394
47,"ค่าเทอมเทอมละกี่บาทคะ
",3,0.8824852105266394
4,"เรียนแมทกี่ตัว
",4,0.6415041695394883
5,"มีที่พักไหมคะ
",5,0.0
50,"มีที่พักไหมครับ
",5,0.0
58,"หวัดดีครับ
",6,0.979272308162456
21,"ขอเว็ปมหาลัยหน่อยจ้า
",6,0.979272308162456
6,"เรียนจบไปทำงานอะไร
",6,0.979272308162456
33,"มีหอพักไหมครับ
",7,0.654038769025282
10,"ขอระเบียบการหอพัก
",7,0.654038769025282
7,"มีหอพักสำหรับนักศึกษามั้ยคะ
",7,0.654038769025282
8,"ค่าหอเท่าไหร่คะ
",8,0.29661051012164336
37,"ค่าหอเท่าไหร่
",8,0.29661051012164336
51,"ค่าหอราคาเท่าไหร่ครับ
",8,0.29661051012164336
9,"เรียนยากมั้ยคะ 
",9,0.0
12,"Hi
",10,2.0412414523193148
11,"เปิดเทอมวันไหน 
",10,2.0412414523193148
54,"จบไปทำอะไร 
",11,1.1525854876545998
13,"จบอะไรถึงเรียนได้คะ
",11,1.1525854876545998
14,"สายศิลป์เรียนได้ไหม
",12,0.6589355394749011
36,"ตึกสาขาอยู่ที่ไหนครับ
",13,0.5293595661475294
16,"สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
",13,0.5293595661475294
18,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",14,1.5923927131253626
19,"อรุณสวัสดิ์ค่ะ :)
",15,0.0
20,"สนใจเรียนสมัครอย่างไรคะ
",16,0.8383163534490198
22,"เรียนยากไหม
",17,2.7755575615628914e-17
60,"เรียนยากไหม
",17,2.7755575615628914e-17
42,"เรียนยากไหมครับ
",17,2.7755575615628914e-17
53,"เรียนยากไหม
",17,2.7755575615628914e-17
27,"เรียนยากไหม
",17,2.7755575615628914e-17
23,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",18,1.7496473474249847
28,"ขอเว็บไซต์สาขาหน่อย
",19,0.18130599675559841
56,"ขอลิ้งค์เว็บไซต์สาขาหน่อย
",19,0.18130599675559841
62,"ค่าเทอมเท่าไหร่
",20,0.2613781627280176
49,"ค่าเทอม เทอมละเท่าไหร่ครับ
",20,0.2613781627280176
45,"ค่าเทอมเท่าไหร่ครับ 
",20,0.2613781627280176
29,"ค่าเทอมเท่าไหร่
",20,0.2613781627280176
55,"ขอดูหลักสูตรหน่อย 
",21,0.7528276377855267
32,"ขอดูหลักสูตรหน่อย
",21,0.7528276377855267
35,"สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
",22,0.29871790026059153
44,"ขอเว็บสาขาหน่อย
",23,1.3801641637918372
39,"ขอรายวิชาในสาขาหน่อย
",23,1.3801641637918372
40,"เทอมนี้มีวิชาอะไรบ้าง 
",24,0.7467947506514787
46,"ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
",25,0.0
52,"ขอเว็บไซต์คณะหน่อยหน่อยครับ
",26,0.7252239870223935
57,"สาขานี้เรียนยากไหม
",27,6.938893903907228e-17
