,text,centroids_id_level_1,avg_dist_score
14,"สายศิลป์เรียนได้ไหม
",0,0.9366752596541382
36,"ตึกสาขาอยู่ที่ไหนครับ
",0,0.9366752596541382
21,"ขอเว็ปมหาลัยหน่อยจ้า
",0,0.9366752596541382
20,"สนใจเรียนสมัครอย่างไรคะ
",0,0.9366752596541382
39,"ขอรายวิชาในสาขาหน่อย
",0,0.9366752596541382
16,"สวัสดีครับ ตึกสาขาตั้งอยู่ตรงไหนครับ
",0,0.9366752596541382
13,"จบอะไรถึงเรียนได้คะ
",0,0.9366752596541382
12,"Hi
",0,0.9366752596541382
11,"เปิดเทอมวันไหน 
",0,0.9366752596541382
44,"ขอเว็บสาขาหน่อย
",0,0.9366752596541382
28,"ขอเว็บไซต์สาขาหน่อย
",0,0.9366752596541382
52,"ขอเว็บไซต์คณะหน่อยหน่อยครับ
",0,0.9366752596541382
6,"เรียนจบไปทำงานอะไร
",0,0.9366752596541382
56,"ขอลิ้งค์เว็บไซต์สาขาหน่อย
",0,0.9366752596541382
54,"จบไปทำอะไร 
",0,0.9366752596541382
26,"สวัสดีครับ
",1,2.2363303936170177e-16
25,"สวัสดีค่ะ
",1,2.2363303936170177e-16
24,"สวัสดีจ้า
",1,2.2363303936170177e-16
59,"สวัสดีครับ
",1,2.2363303936170177e-16
48,"สวัสดีครับ
",1,2.2363303936170177e-16
41,"สวัสดี
",1,2.2363303936170177e-16
15,"สวัสดี
",1,2.2363303936170177e-16
30,"สวัสดี
",1,2.2363303936170177e-16
0,"สวัสดีค่ะ 
",1,2.2363303936170177e-16
40,"เทอมนี้มีวิชาอะไรบ้าง 
",2,0.6002754386494775
37,"ค่าหอเท่าไหร่
",2,0.6002754386494775
51,"ค่าหอราคาเท่าไหร่ครับ
",2,0.6002754386494775
49,"ค่าเทอม เทอมละเท่าไหร่ครับ
",2,0.6002754386494775
45,"ค่าเทอมเท่าไหร่ครับ 
",2,0.6002754386494775
62,"ค่าเทอมเท่าไหร่
",2,0.6002754386494775
8,"ค่าหอเท่าไหร่คะ
",2,0.6002754386494775
29,"ค่าเทอมเท่าไหร่
",2,0.6002754386494775
46,"ขอสอบถามเรื่องหลักสูตรของสาขาวิชานี้หน่อยค่ะ
",3,0.5222048146619964
35,"สวัสดีค่ะ ขอสอบถามเรื่องค่าเทอมหน่อยค่ะ
",3,0.5222048146619964
60,"เรียนยากไหม
",4,0.32631733374359945
57,"สาขานี้เรียนยากไหม
",4,0.32631733374359945
53,"เรียนยากไหม
",4,0.32631733374359945
9,"เรียนยากมั้ยคะ 
",4,0.32631733374359945
42,"เรียนยากไหมครับ
",4,0.32631733374359945
27,"เรียนยากไหม
",4,0.32631733374359945
22,"เรียนยากไหม
",4,0.32631733374359945
61,"กี่ปีจบ
",5,0.7849693319036901
58,"หวัดดีครับ
",5,0.7849693319036901
2,"เรียนกี่ปีจบ
",5,0.7849693319036901
34,"เรียนกี่ปีครับ
",5,0.7849693319036901
4,"เรียนแมทกี่ตัว
",5,0.7849693319036901
19,"อรุณสวัสดิ์ค่ะ :)
",5,0.7849693319036901
31,"ขอข้อมูลหลักสูตรหน่อย 
",6,0.6280903814235688
1,"ขอข้อมูลหลักสูตรหน่อยค่ะ
",6,0.6280903814235688
43,"ขอรายละเอียดหลักสูตรหน่อย
",6,0.6280903814235688
32,"ขอดูหลักสูตรหน่อย
",6,0.6280903814235688
55,"ขอดูหลักสูตรหน่อย 
",6,0.6280903814235688
5,"มีที่พักไหมคะ
",7,0.0
50,"มีที่พักไหมครับ
",7,0.0
3,"ค่าเทอมกี่บาท
",8,0.6033303731777802
47,"ค่าเทอมเทอมละกี่บาทคะ
",8,0.6033303731777802
38,"ค่าเทอมกี่บาท
",8,0.6033303731777802
17,"เปิดเรียนปีการศึกษาละกี่เทอมคะ
",8,0.6033303731777802
18,"ค่าเทอมลดกี่เปอเซ็นคะช่วงโควิด
",8,0.6033303731777802
33,"มีหอพักไหมครับ
",9,0.7116609825858452
7,"มีหอพักสำหรับนักศึกษามั้ยคะ
",9,0.7116609825858452
23,"ขอระเบียบการดรอปเรียนหน่อยค่ะ
",9,0.7116609825858452
10,"ขอระเบียบการหอพัก
",9,0.7116609825858452
